Illa,Àmbit,Municipi,Localitat,Data,Nom festa
Illes Balears,Autonòmic,Illes Balears,Illes Balears,1 de gener,Cap d’any
Illes Balears,Autonòmic,Illes Balears,Illes Balears,6 de gener,Epifania del Senyor
Illes Balears,Autonòmic,Illes Balears,Illes Balears,2 de març,L’endemà del Dia de les Illes Balears
Illes Balears,Autonòmic,Illes Balears,Illes Balears,2 d’abril,Dijous Sant
Illes Balears,Autonòmic,Illes Balears,Illes Balears,3 d’abril,Divendres Sant
Illes Balears,Autonòmic,Illes Balears,Illes Balears,6 d’abril,Dilluns de Pasqua
Illes Balears,Autonòmic,Illes Balears,Illes Balears,1 de maig,Dia del Treball
Illes Balears,Autonòmic,Illes Balears,Illes Balears,15 d’agost,Assumpció de la Mare de Déu
Illes Balears,Autonòmic,Illes Balears,Illes Balears,12 d’octubre,Festa Nacional
Illes Balears,Autonòmic,Illes Balears,Illes Balears,8 de desembre,Immaculada Conepció
Illes Balears,Autonòmic,Illes Balears,Illes Balears,25 de desembre,Dia de Nadal
Illes Balears,Autonòmic,Illes Balears,Illes Balears,26 de desembre,Segona festa de Nadal
Mallorca,Local,Alaró,Alaró,24 de juny,Sant Joan
Mallorca,Local,Alaró,Alaró,29 de juny,Sant Pere
Mallorca,Local,Alcúdia,Alcúdia,29 de juny,Sant Pere
Mallorca,Local,Alcúdia,Alcúdia,2 de juliol,Mare de Déu de la Victòria
Mallorca,Local,Algaida,Algaida i Randa,16 de gener,Sant Honorat
Mallorca,Local,Algaida,Algaida i Randa,25 de juliol,Sant Jaume
Mallorca,Local,Algaida,Pina,17 de gener,Sant Antoni
Mallorca,Local,Algaida,Pina,26 de setembre,Sant Cosme i Sant Damià
Mallorca,Local,Andratx,Andratx,7 de desembre,7 de desembre
Mallorca,Local,Andratx,Andratx,29 de juny,29 de juny
Mallorca,Local,Andratx,Port d'Andratx,7 de desembre,7 de desembre
Mallorca,Local,Andratx,Port d'Andratx,16 de juliol,Mare de Déu del Carme
Mallorca,Local,Andratx,s'Arracó,7 de desembre,7 de desembre
Mallorca,Local,Andratx,s'Arracó,28 d'agost,Sant Agustí
Mallorca,Local,Ariany,Ariany,31 d'agosto,Segona Festa Patronal
Mallorca,Local,Ariany,Ariany,7 de desembre,Pont de la Immaculada
Mallorca,Local,Artà,Artà,17 de gener,Sant Antoni
Mallorca,Local,Artà,Artà,6 d'agost,Sant Salvador
Mallorca,Local,Artà,Colònia de Sant Pere,17 de gener,Sant Antoni
Mallorca,Local,Artà,Colònia de Sant Pere,29 de juny,Sant Pere
Mallorca,Local,Banyalbufar,Banyalbufar,8 de setembre,8 de setembre
Mallorca,Local,Banyalbufar,Banyalbufar,7 de desembre,7 de desembre
Mallorca,Local,Banyalbufar,Port des Canonge,25 de juliol,Sant Jaume
Mallorca,Local,Banyalbufar,Port des Canonge,7 de desembre,7 de desembre
Mallorca,Local,Binissalem,Binissalem,24 de juliol,Divendres previ a Sant Jaume
Mallorca,Local,Binissalem,Binissalem,25 de setembre,Divendres de Sa Vermada
Mallorca,Local,Búger,Búger,29 de juny,Sant Pere
Mallorca,Local,Búger,Búger,30 de juny,Sant Marçal
Mallorca,Local,Bunyola,Bunyola,21 de setembre,Sant Mateu
Mallorca,Local,Bunyola,Bunyola,25 de novembre,Santa Catalina
Mallorca,Local,Bunyola,Palmanyola,20 de gener,Sant Sebastià
Mallorca,Local,Bunyola,Palmanyola,21 de setembre,Sant Mateu
Mallorca,Local,Bunyola,Orient,23 d'abril,Sant Jordi
Mallorca,Local,Bunyola,Orient,21 de setembre,Sant Mateu
Mallorca,Local,Calvià,Calvià,24 de juny,Sant Joan
Mallorca,Local,Calvià,Calvià,16 de juliol,Verge del Carme
Mallorca,Local,Calvià,es Capdellà,20 de gener,Sant Sebastià
Mallorca,Local,Calvià,es Capdellà,16 de juliol,Verge del Carme
Mallorca,Local,Campanet,Campanet,7 d'abril,7 d'abril
Mallorca,Local,Campanet,Campanet,29 de setembre,Sant Miquel
Mallorca,Local,Campos,Campos,9 de gener,Sant Julià i Santa Basilissa
Mallorca,Local,Campos,Campos,22 d'octubre,Sa Fira
Mallorca,Local,Capdepera,Capdepera,16 de juliol,Mare de Déu del Carme
Mallorca,Local,Capdepera,Capdepera,24 d'agost,Sant Bartomeu
Mallorca,Local,Consell,Consell,24 d'agost,24 d'agost
Mallorca,Local,Consell,Consell,7 de desembre,7 de desembre
Mallorca,Local,Costitx,Costitx,20 de gener,Sant Sebastià
Mallorca,Local,Costitx,Costitx,8 de setembre,La Mare de Déu 
Mallorca,Local,Deià,Deià,20 de gener,Sant Sebastià
Mallorca,Local,Deià,Deià,24 de juny,Sant Joan
Mallorca,Local,Escorca,Escorca,29 de juny,Sant Pere
Mallorca,Local,Escorca,Escorca,10 d'agost,Sant Llorenç
Mallorca,Local,Esporles,Esporles,29 de juny,29 de juny
Mallorca,Local,Esporles,Esporles,7 de desembre,7 de desembre
Mallorca,Local,Estellencs,Estellencs,27 de febrer,27 de febrer
Mallorca,Local,Estellencs,Estellencs,29 d'agost,29 d'agost
