date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
01/01/2026;Año Nuevo;Urteberri eguna;CAE;EAE;Todos/denak;;;
06/01/2026;Epifanía del Señor;Jaunaren epifania;CAE;EAE;Todos/denak;;;
19/03/2026;San José;San Joseren eguna;CAE;EAE;Todos/denak;;;
02/04/2026;Jueves Santo;Ostegun Santua;CAE;EAE;Todos/denak;;;
03/04/2026;Viernes Santo;Ostiral Santua;CAE;EAE;Todos/denak;;;
06/04/2026;Lunes de Pascua de Resurrección;Pazko Astelehena;CAE;EAE;Todos/denak;;;
01/05/2026;Fiesta del Trabajo;Langileen eguna;CAE;EAE;Todos/denak;;;
25/07/2026;Santiago Apóstol;Santiago Apostoluaren eguna;CAE;EAE;Todos/denak;;;
15/08/2026;Asunción de la Virgen;Ama Birjinaren Jasokundea;CAE;EAE;Todos/denak;;;
12/10/2026;Fiesta Nacional de España;Espainiako Jai Nazionala;CAE;EAE;Todos/denak;;;
08/12/2026;Inmaculada Concepción;Ama Birjina Sortzez Garbiaren eguna;CAE;EAE;Todos/denak;;;
25/12/2026;Natividad del Señor;Eguberri eguna;CAE;EAE;Todos/denak;;;
31/07/2026;San Ignacio de Loyola;Loiolako San Inazio;Bizkaia;Bizkaia;Bizkaia;;;
31/07/2026;San Ignacio de Loyola;Loiolako San Inazio;Gipuzkoa;Gipuzkoa;Gipuzkoa;;;
28/04/2026;San Prudencio;San Prudentzio;Álava - Araba;Álava - Araba;Álava - Araba;;;
15/05/2026;San Trokaz;San Trokaz Eguna;Abadiño  ;Abadiño  ;Bizkaia;1.0;43.15;-2.610.278
15/06/2026;San Antonio;San Antonio;Abanto y Ciérvana-Abanto Zierbena ;Abanto y Ciérvana-Abanto Zierbena ;Bizkaia;2.0;43.316.389;-3.083.333
14/05/2026;La Ascensión;Asentzio Eguna;Ajangiz;Ajangiz;Bizkaia;911.0;43.301;-2.671
02/09/2026;San Antolín;San Antolin eguna;Alonsotegi;Alonsotegi;Bizkaia;912.0;43.245.186;-2.988.701
16/07/2026;Ntra. Sra. del Carmen;Karmengo Amaren Eguna;Amorebieta-Etxano  ;Amorebieta-Etxano  ;Bizkaia;3.0;43.226.104;-2.712.628
03/07/2026;San Martín;San Martin;Amoroto  ;Amoroto  ;Bizkaia;4.0;433.285;-25.125
18/07/2026;Santa Marina;Santa Marina Eguna;Arakaldo  ;Arakaldo  ;Bizkaia;5.0;4.314.955;-2.925.086
29/06/2026;San Pedro;San Pedro Eguna;Arantzazu  ;Arantzazu  ;Bizkaia;6.0;43.152.904;-279.043
